Product Type,Model,Manufacturer,Registration No.,Water Efficiency Grade,Announcement Date,Standard,WEI,EEI,Water Consumption (L),Energy Consumption (kWh/cycle),Drying Index PD,Cleaning Index PC,Capacity (place settings),Noise dB(A)
洗碗机,BG610,中山市广新进出口贸易有限公司,20260519-CWL032020-845027,1,2026-05-19,GB 38383-2019,44.6,47.9,11.1,0.802,1.25,1.14,14,
洗碗机,JWB18-iD3000Max,华帝股份有限公司,20260518-CWL032020-536693,1,2026-05-18,GB 38383-2019,38.3,47.8,13.2,0.845,1.39,1.35,20,
洗碗机,Q12P-B,广东容声电器股份有限公司,20260516-CWL032020-312339,1,2026-05-16,GB 38383-2019,43.8,47.8,10.9,0.799,1.13,1.12,14,
洗碗机,Q18-B,广东容声电器股份有限公司,20260516-CWL032020-842600,1,2026-05-16,GB 38383-2019,36.7,49.1,11.5,0.870,1.30,1.30,18,
洗碗机,DW12-D60C,广东顺德浦拓贸易有限公司,20260515-CWL032020-933438,1,2026-05-15,GB 38383-2019,44.3,45.1,8.2,0.713,1.18,1.22,10,
洗碗机,WQP13-Q03Y2,广东广美工贸有限公司,20260515-CWL032020-283511,1,2026-05-15,GB 38383-2019,45.0,50.0,9.4,0.755,1.08,1.12,13,
洗碗机,WQP13-Q03Y1,广东广美工贸有限公司,20260515-CWL032020-398225,1,2026-05-15,GB 38383-2019,45.0,50.0,9.4,0.755,1.08,1.12,13,
洗碗机,Q18-A,广东容声电器股份有限公司,20260515-CWL032020-222965,1,2026-05-15,GB 38383-2019,36.7,49.1,11.5,0.870,1.30,1.30,18,
洗碗机,Q12P-A,广东容声电器股份有限公司,20260515-CWL032020-046304,1,2026-05-15,GB 38383-2019,43.8,47.8,10.9,0.799,1.13,1.12,14,
洗碗机,JWF16-iD3000,华帝股份有限公司,20260515-CWL032020-083863,1,2026-05-15,GB 38383-2019,38.3,47.8,13.2,0.845,1.39,1.35,20,
洗碗机,JWB23-B9Pro,华帝股份有限公司,20260515-CWL032020-137768,1,2026-05-15,GB 38383-2019,41.4,48.7,16.3,0.925,1.39,1.27,23,
洗碗机,DT786I,"Gorenje gospodinjski aparati, d.o.o.",20260514-CWL032020-330303,1,2026-05-14,GB 38383-2019,35.0,48.0,9.5,0.850,1.13,1.15,16,
洗碗机,DTAU7SI,"Gorenje gospodinjski aparati, d.o.o.",20260514-CWL032020-610916,1,2026-05-14,GB 38383-2019,35.0,45.0,9.5,0.750,1.15,1.15,16,
洗碗机,DT786BSU,"Gorenje gospodinjski aparati, d.o.o.",20260514-CWL032020-020797,1,2026-05-14,GB 38383-2019,35.0,48.0,9.5,0.850,1.13,1.15,16,
洗碗机,090W,杭州名气电器有限公司,20260514-CWL032020-702954,1,2026-05-14,GB 38383-2019,37.1,44.8,12.8,0.823,1.36,1.34,20,
洗碗机,U5-05,浙江森歌智能厨电股份有限公司,20260514-CWL032020-955478,1,2026-05-14,GB 38383-2019,45.0,50.0,9.7,0.825,1.08,1.12,12,
